seed,sigma,K,parity_kl,mse_kl_same_seed,delta_vs_mse
118,1.0,512,0.38189240997465035,0.5179591947171425,-0.13606678474249212
118,2.0,128,0.5751178645914796,0.5179591947171425,0.057158669874337154
118,2.0,256,0.47431285760111924,0.5179591947171425,-0.043646337116023226
118,2.0,512,0.3534852438248862,0.5179591947171425,-0.16447395089225625
118,3.0,128,0.6246008153554915,0.5179591947171425,0.10664162063834903
118,3.0,256,0.40299742040086983,0.5179591947171425,-0.11496177431627264
118,3.0,512,0.38004482671487433,0.5179591947171425,-0.13791436800226814
119,0.5,128,0.710434353674989,0.5381169440727627,0.1723174096022263
119,0.5,256,0.5783885262157824,0.5381169440727627,0.040271582143019735
119,0.5,512,0.498635805732209,0.5381169440727627,-0.03948113834055367
119,1.0,128,0.5943411531987939,0.5381169440727627,0.05622420912603121
119,1.0,256,0.4468499200029651,0.5381169440727627,-0.09126702406979759
119,1.0,512,0.4706521299125025,0.5381169440727627,-0.06746481416026018
119,2.0,128,0.6103207699314215,0.5381169440727627,0.07220382585865881
119,2.0,256,0.8154256601309222,0.5381169440727627,0.27730871605815954
119,2.0,512,0.5506357913712819,0.5381169440727627,0.012518847298519264
119,3.0,128,0.8405562205884692,0.5381169440727627,0.30243927651570657
119,3.0,256,0.670725509521735,0.5381169440727627,0.13260856544897237
119,3.0,512,0.5327781388177384,0.5381169440727627,-0.0053388052550242815
120,0.5,128,0.5129843491375332,0.3755882241517022,0.13739612498583104
120,0.5,256,0.6191474498849312,0.3755882241517022,0.24355922573322902
120,0.5,512,0.44808059658881794,0.3755882241517022,0.07249237243711576
120,1.0,128,0.5877948606141055,0.3755882241517022,0.2122066364624033
120,1.0,256,0.5365723573440258,0.3755882241517022,0.16098413319232358
120,1.0,512,0.4377398496288409,0.3755882241517022,0.062151625477138706
120,2.0,128,0.6636983077420078,0.3755882241517022,0.2881100835903056
120,2.0,256,0.56986923526108,0.3755882241517022,0.19428101110937784
120,2.0,512,0.8944244384873784,0.3755882241517022,0.5188362143356762
120,3.0,128,0.6151162980336491,0.3755882241517022,0.2395280738819469
120,3.0,256,0.5632958548155238,0.3755882241517022,0.18770763066382162
120,3.0,512,0.42388287487074344,0.3755882241517022,0.048294650719041265
