beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.1,119,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,174,191,600,600,medium,32,4,1,64,600,600,0.6170529308767834,0.06706193994172009,0.047811358931158426,0.02559738794135154
0.1,119,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,174,191,600,600,medium,32,4,1,64,600,600,3.4183460562800123,0.05083356845685883,0.03671707580113454,0.019568973500105294
0.1,119,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,174,191,600,600,medium,32,4,1,64,600,600,0.883422821148012,0.04540534947240425,0.03807225430882305,0.024992422029180006
0.1,119,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,174,191,600,600,medium,32,4,1,64,600,600,1.264543399781664,0.03961071883281569,0.03270590139294261,0.021155557610649453
0.1,119,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,174,191,600,600,medium,32,4,1,64,600,600,1.4957683254705247,0.03314842931108497,0.026951334035180345,0.018001632239218822
0.1,120,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,0.5442316621297065,0.0709519201171002,0.05085634233842409,0.02720582142531261
0.1,120,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,0.7848067855072431,0.04425686335192663,0.03826315316309453,0.02629585913661963
0.1,120,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,0.8760405702426728,0.043475677896432294,0.03700828732792016,0.02485996262496381
0.1,120,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,1.149240929874265,0.03522605869435063,0.02915577860615767,0.01939970690823758
0.1,120,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,180,188,600,600,medium,32,4,1,64,600,600,1.5947432319644688,0.02997174934219224,0.024684077326050425,0.016418739965130744
0.2,111,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,172,192,600,600,medium,32,4,1,64,600,600,0.49765783965819943,0.07709631907021434,0.05470227926492859,0.02840503668490057
0.2,111,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,172,192,600,600,medium,32,4,1,64,600,600,0.8440826000042307,0.054028659841813695,0.04418080052068534,0.027459895068386857
0.2,111,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,172,192,600,600,medium,32,4,1,64,600,600,0.8844832955184581,0.04871963002230424,0.040575094999158325,0.026142174186615443
0.2,111,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,172,192,600,600,medium,32,4,1,64,600,600,1.3182344822334038,0.05463524237451493,0.042317423207965464,0.024540237822870705
0.2,111,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,172,192,600,600,medium,32,4,1,64,600,600,1.6371651954969435,0.033077417178968935,0.026556332587709664,0.017391246722985556
0.2,112,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,182,185,600,600,medium,32,4,1,64,600,600,0.5622921651420282,0.06647100672510631,0.049118063303609676,0.027133306863818728
0.2,112,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,182,185,600,600,medium,32,4,1,64,600,600,1.7910543003123616,0.0537178670749067,0.0409518508787202,0.02319764823707886
0.2,112,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,182,185,600,600,medium,32,4,1,64,600,600,0.9627910279616942,0.04617650624656434,0.03855471167152492,0.025330913263445314
0.2,112,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,182,185,600,600,medium,32,4,1,64,600,600,1.0986259257012139,0.0529607795163328,0.042893243372415325,0.02687213489964679
