beta,seed,model_key,model_label,n,train_m,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q,quality_coverage_Q1000,quality_coverage_Q2000,quality_coverage_Q5000
0.1,109,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,178,189,600,600,medium,32,4,1,64,600,600,0.5262918771203122,0.06241186097243548,0.045889329721852834,0.02578927288451124
0.1,109,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,178,189,600,600,medium,32,4,1,64,600,600,1.1875130156910279,0.041309287821112636,0.03360991023939894,0.02113860215765572
0.1,109,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,178,189,600,600,medium,32,4,1,64,600,600,0.9336603051839626,0.04198930456134699,0.03582331200696573,0.02421211478668743
0.1,109,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,178,189,600,600,medium,32,4,1,64,600,600,1.1197796209251236,0.04042030264080724,0.033175055065445824,0.021590881862183935
0.1,109,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,178,189,600,600,medium,32,4,1,64,600,600,1.6621045020626584,0.03137429998241931,0.025822811455052885,0.017230688511470145
0.1,110,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,0.4829617702441945,0.06339380497141928,0.04831556277987648,0.027814458805718482
0.1,110,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,1.9157570519795546,0.029210190570419427,0.023975000038525415,0.01531403866936293
0.1,110,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,0.9302100797727629,0.04032881219167409,0.0347669462350154,0.024065191285883837
0.1,110,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,1.0979731001126112,0.03266321177545912,0.028577919587612834,0.020615431499877965
0.1,110,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,182,191,600,600,medium,32,4,1,64,600,600,1.405737440713768,0.032361485645264865,0.026932229089217805,0.01825295312920527
0.2,101,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,175,187,600,600,medium,32,4,1,64,600,600,0.5473701336708251,0.07709612516970808,0.053884640959899574,0.02820864682282522
0.2,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,175,187,600,600,medium,32,4,1,64,600,600,0.9508716863337148,0.046626314449395266,0.03758637598773364,0.02383284339848385
0.2,101,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,175,187,600,600,medium,32,4,1,64,600,600,0.9202558963618659,0.04757041830756677,0.038851737893017685,0.024736779319049555
0.2,101,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,175,187,600,600,medium,32,4,1,64,600,600,1.2047935639754288,0.04478864262027974,0.03610589410713891,0.022768391576812378
0.2,101,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,175,187,600,600,medium,32,4,1,64,600,600,1.4352362880936476,0.040371025957082,0.032091521776121845,0.020216773994470288
0.2,102,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,172,194,600,600,medium,32,4,1,64,600,600,0.5000432910580042,0.07029341940115047,0.05139642112208061,0.027815108119619496
0.2,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,172,194,600,600,medium,32,4,1,64,600,600,1.542470604246954,0.04168896245701535,0.033190608500721044,0.020183045274596845
0.2,102,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,172,194,600,600,medium,32,4,1,64,600,600,0.9773111250975639,0.048117995168783,0.039333372315801696,0.024913734342857638
0.2,102,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,172,194,600,600,medium,32,4,1,64,600,600,1.1997039538501988,0.03838595864420969,0.031013642973327996,0.019878648549448007
0.2,102,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,172,194,600,600,medium,32,4,1,64,600,600,1.6588435704777096,0.034726104221055404,0.028311006825763124,0.018552479285933027
0.2,103,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,174,185,600,600,medium,32,4,1,64,600,600,0.5097528207139208,0.07346305917918561,0.05271438020217465,0.028452577847028208
0.2,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,0.1,204,174,185,600,600,medium,32,4,1,64,600,600,1.5908391917500597,0.038663918824938234,0.029667324569528856,0.018099769242483018
0.2,103,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,0.1,204,174,185,600,600,medium,32,4,1,64,600,600,1.010789248120596,0.04675105083525044,0.038462239308868724,0.024779917163863206
0.2,103,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,0.1,204,174,185,600,600,medium,32,4,1,64,600,600,1.4047772601685617,0.041314593764703304,0.03261408879349718,0.02028888714710973
0.2,103,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,0.1,204,174,185,600,600,medium,32,4,1,64,600,600,1.659314713422328,0.03173483934135381,0.026278654817178938,0.01762522084668058
0.2,104,iqp_parity_mse,IQP (parity),12,200,1.0,512,0.1,204,165,187,600,600,medium,32,4,1,64,600,600,0.5144389437371932,0.07590139155243893,0.053293803382522924,0.027685472184642377
