beta,model_key,model_label,n_seeds,min,q1,mean,q3,max
0.4,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.018164007414710755,0.018996107255471132,0.01966734579569756,0.020258070377967514,0.02086701870841955
0.5,iqp_parity_mse,IQP (parity),5,0.024504227693891507,0.02471255211321759,0.02555097265056469,0.026469039852357754,0.026810583376646532
0.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.02411706086140119,0.025378741627296756,0.025673286504802124,0.026454993849328524,0.026985316846487296
0.5,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.024017836730306046,0.024266698772880586,0.024931524347652074,0.025495077434303987,0.026107228001408328
0.5,classical_transformer_mle,AR Transformer (MLE),5,0.00632908157557275,0.006639911031729433,0.007754815864897067,0.008557290415955774,0.009619776010576453
0.5,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.01639516884324037,0.01648129680565783,0.017789422477643507,0.019695276035764424,0.019704368842969718
0.6,iqp_parity_mse,IQP (parity),5,0.024264231624697093,0.02435857226685597,0.024916132231844627,0.02550698091990787,0.025606296982705033
0.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.022432259855416106,0.023338731909741405,0.024080107548356277,0.024903121510083576,0.02496683330162473
0.6,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.022603413946241005,0.023251780322757536,0.023649468206407447,0.024311428553621794,0.024458217096106405
0.6,classical_transformer_mle,AR Transformer (MLE),5,0.005410679340374667,0.008415745326435919,0.010411835853987991,0.013330073030287277,0.014314877257779177
0.6,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.01603942638333754,0.016332874208909425,0.017717802993907565,0.01844426459573109,0.020511860921850002
0.7,iqp_parity_mse,IQP (parity),5,0.02189362772410832,0.022744004077538838,0.023365678740147673,0.023824322555173773,0.025007905184697893
0.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.022074931751274198,0.02291552597874698,0.02294519945209631,0.023158511207786905,0.023563235384499046
0.7,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.021719171407140168,0.022020510916513625,0.022223289751196078,0.022265492626965516,0.02286416775683458
0.7,classical_transformer_mle,AR Transformer (MLE),5,0.007816644558939895,0.011575783968671698,0.011693080561884488,0.012911005279453653,0.013937644808221518
0.7,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.013537011617845145,0.015193771155402635,0.015329585348130736,0.015896620777812776,0.016376553909728177
0.8,iqp_parity_mse,IQP (parity),5,0.022676617557608036,0.022954482800792327,0.02351243012752324,0.023659072901982187,0.024644734752977494
0.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.020729693590732796,0.021674158792926057,0.022395651028651247,0.022813082167151923,0.024775165320246588
0.8,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.020984915136430315,0.02108011333257449,0.021600667644699693,0.02119143284189865,0.023665855322749407
0.8,classical_transformer_mle,AR Transformer (MLE),5,0.009331484328843275,0.011378402681590778,0.013145129982806808,0.0146569954053341,0.016632795009372616
0.8,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.012848582116864958,0.01402802246109247,0.014098114041135906,0.014564138517720654,0.014847889568047558
0.9,iqp_parity_mse,IQP (parity),5,0.02095942506124249,0.021538673717775937,0.02228794339879848,0.02296876719750918,0.023367334030038125
0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.018302585573086522,0.0192010796971285,0.01944255682836761,0.019977171061784857,0.02043870336032482
0.9,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.01910773009241753,0.019346701491013637,0.02041207406245505,0.020911368260867706,0.021941001353670078
0.9,classical_transformer_mle,AR Transformer (MLE),5,0.010465165206295765,0.011223424251755855,0.013025469067151935,0.013978057950059531,0.016972881579529718
0.9,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.009185878587785527,0.010104741871140728,0.011699960467760642,0.012895382187392076,0.015037447503878065
1.0,iqp_parity_mse,IQP (parity),5,0.02078269786172495,0.02124417984906722,0.0217353726404227,0.021665249507486346,0.023374650724381718
1.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.015074535663516997,0.01690432637651514,0.017585999305093428,0.018606745200033276,0.020122416036970524
1.0,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.017209366419065977,0.017268396123674354,0.018113646688365757,0.01857458399120494,0.01959881294982844
1.0,classical_transformer_mle,AR Transformer (MLE),5,0.012029347958795822,0.01215513993308371,0.015481976304545366,0.01644623678795462,0.021080596067209013
1.0,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.006863963923728894,0.007466160762186391,0.007850034779777786,0.008046619709514504,0.00924486099100546
1.1,iqp_parity_mse,IQP (parity),5,0.019003498186469476,0.019801027704142108,0.020448934698980854,0.02109681048143117,0.021396274238420592
1.1,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.014260895573756005,0.014878637011283433,0.01619220996968356,0.016947077734999736,0.019126469370139152
1.1,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.015090084892255953,0.015163587746322569,0.015867191135581278,0.016021768751090112,0.01704563263964824
1.1,classical_transformer_mle,AR Transformer (MLE),5,0.009183494037064173,0.011989429383689304,0.013944647470949034,0.014603357126876824,0.020147008458302543
1.1,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.00362996700200316,0.0038980464255484485,0.00482622986513692,0.005643377163141777,0.006438169022767731
1.2,iqp_parity_mse,IQP (parity),5,0.016589487725320522,0.018697997626847606,0.018473791913548736,0.019137958953460345,0.01914726425467026
1.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.012860988569080505,0.013765926234328575,0.014721696715742768,0.015173043281662796,0.016688927724946137
1.2,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.011560335708986716,0.013577963437565142,0.014070340924272475,0.014807863671436525,0.015718617597431917
1.2,classical_transformer_mle,AR Transformer (MLE),5,0.009368069461910164,0.014011690034626543,0.015191267959501566,0.01844039305478253,0.019465990112450232
1.2,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.0022288382136860115,0.002264309145463254,0.002868562860322196,0.0031195276141610874,0.0043193038604861945
1.3,iqp_parity_mse,IQP (parity),5,0.014540102192801527,0.01511238005509442,0.01647905648158061,0.018600601586710452,0.01883326385049088
1.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.012365953840957575,0.013070764230172295,0.013715635342878132,0.014284444240352849,0.0154816032271441
1.3,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.010002612503491147,0.011812400909404773,0.013025480011213194,0.013778251687280016,0.01619049387983795
1.3,classical_transformer_mle,AR Transformer (MLE),5,0.011342857879262007,0.011932859784272849,0.013434105101631127,0.015025281091233475,0.015683594641322265
1.3,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.0008737555934086588,0.0009078292772458365,0.001702850513881618,0.002370158036877094,0.002968583755881403
1.4,iqp_parity_mse,IQP (parity),5,0.013569144045530123,0.013753932822792875,0.014430534723314662,0.015076211489747263,0.01595243607678393
1.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.010660926296869653,0.011302956584979864,0.011886483389354153,0.01237604432084027,0.01271893404885082
1.4,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.007520519463185343,0.007538090722169328,0.008334132358969671,0.00785887678894135,0.011065302746791138
1.4,classical_transformer_mle,AR Transformer (MLE),5,0.004761749871173435,0.006963641102391543,0.009437703105709756,0.011626715572390433,0.0125461967412056
1.4,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.0003146171954456112,0.0010276914552510945,0.00108576620261286,0.0013443696752933165,0.0015855801498464786
1.5,iqp_parity_mse,IQP (parity),5,0.010942813764357896,0.011358938379544147,0.01240190817329344,0.012579790666535218,0.015123402056993047
1.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.008619080352754377,0.009443375586458315,0.009975931692166241,0.010725869304371485,0.011354979685352902
1.5,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.004974889671544339,0.0057894737933082635,0.006848101835671749,0.008382549157792556,0.008572902226232335
1.5,classical_transformer_mle,AR Transformer (MLE),5,0.004442855070616288,0.0072697021658916046,0.009373526833392452,0.01373241793219972,0.013879771650851075
1.5,classical_maxent_parity,"MaxEnt parity (P,z)",5,0.0001379798591296289,0.00027878872966151304,0.0005086770975258684,0.0007139257388765363,0.0007990886421811465
1.6,iqp_parity_mse,IQP (parity),5,0.009263003895440379,0.009646216081935144,0.01045304992294445,0.011101887092837822,0.012243849657123046
1.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.00784272395940788,0.008546722413352102,0.008944654046196269,0.009264536641812503,0.009990450256199674
1.6,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.0037143910896662064,0.0040193381651246265,0.004829529357916827,0.00493827693574475,0.006885905692342516
1.6,classical_transformer_mle,AR Transformer (MLE),5,0.00607730734311951,0.008253948044610158,0.008868026652076495,0.010160818771531046,0.010796287902945626
1.6,classical_maxent_parity,"MaxEnt parity (P,z)",5,6.345402498360461e-05,0.0001231728852799413,0.0003102350548378493,0.0003527655807457239,0.0007043172596784491
1.7,iqp_parity_mse,IQP (parity),5,0.007147901788841068,0.008284721479366486,0.009130103718807424,0.0096508632604074,0.011194626059877845
1.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.006481486393507721,0.006547442524825899,0.007198524154797684,0.0076575415174295015,0.008235828412895784
1.7,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.0027208164074117532,0.002818097448195778,0.004241541220252497,0.005608938669981614,0.005754766655180421
1.7,classical_transformer_mle,AR Transformer (MLE),5,0.005855928761075434,0.0065895794667936115,0.009348350852157702,0.011787463350948362,0.014685547988854046
1.7,classical_maxent_parity,"MaxEnt parity (P,z)",5,6.422498293883264e-05,9.71569720622082e-05,0.0002485876484042592,0.00033889658630059525,0.0005776753318675628
1.8,iqp_parity_mse,IQP (parity),5,0.005719353943676888,0.006080060716635824,0.00683931723114292,0.007383160266192753,0.007844250289870862
1.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.004950200429616366,0.005133359610875958,0.0053891856798353645,0.0054123532785461835,0.0060400623984489645
1.8,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.0007624356867586994,0.0013311773200805066,0.0017503307277119858,0.0021104070519116364,0.002877748247211138
1.8,classical_transformer_mle,AR Transformer (MLE),5,0.0038035506922531105,0.00457359609517939,0.006262928121726521,0.00832621944835667,0.00884884174062224
1.8,classical_maxent_parity,"MaxEnt parity (P,z)",5,3.4270704384581795e-06,8.840356225576299e-05,0.0001191701099194439,0.00016099722333359884,0.00024820386536563197
1.9,iqp_parity_mse,IQP (parity),5,0.005041378267435241,0.005178709659096863,0.005725617349381802,0.005952751332402384,0.007204843153334337
1.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.004167716121250688,0.0043270528361365876,0.004693716900426214,0.0047930485160257545,0.0057280775745083634
1.9,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.00040156303946478546,0.0008963295752994583,0.0014259856402338146,0.002066028582446835,0.0026001253030245868
1.9,classical_transformer_mle,AR Transformer (MLE),5,0.0027852203620432076,0.0038132907832202348,0.004641094328196704,0.005740655666787059,0.006857816840925528
1.9,classical_maxent_parity,"MaxEnt parity (P,z)",5,5.9804315213241344e-05,6.00248985700256e-05,0.00010393214742161611,0.00012579198160420535,0.00016860343766256661
2.0,iqp_parity_mse,IQP (parity),5,0.0029309119888562725,0.003293061100316845,0.0043168536663755995,0.005049085733064493,0.005271870065068236
2.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),5,0.0032933733093035472,0.003351205114482711,0.003730471692646408,0.003965504083157857,0.0040994453010942565
2.0,classical_dense_fields_xent,Dense Ising+fields (xent),5,0.0004589169833653794,0.0007283928783177307,0.001071555331066011,0.0014012978900529,0.001825943688832998
2.0,classical_transformer_mle,AR Transformer (MLE),5,0.0019934019477405884,0.00313394976329976,0.0032081482540125537,0.003576202470672753,0.004145345462944291
2.0,classical_maxent_parity,"MaxEnt parity (P,z)",5,1.819784726894742e-05,2.1441621905684462e-05,9.230976931517122e-05,0.00011638355055899061,0.0002463004198589932
