beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.7,iqp_parity_mse,43,46,global,5000,12,200,1.0,512,600,600,600,0.3957003928200522,0.05266589325099267,2383.0,0.9169501012640104
0.7,classical_nnn_fields_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.5623453587307016,0.02743364427929301,4111.0,0.9111844999318433
0.7,classical_dense_fields_xent,43,46,global,5000,12,200,1.0,512,600,600,600,0.5577611586448802,0.026023148111758355,3312.0,0.9641331810679796
0.7,classical_transformer_mle,43,46,global,5000,12,200,1.0,512,600,600,600,0.6360009226653505,0.008036763325181318,inf,0.3965653263930776
0.7,classical_maxent_parity,43,46,global,5000,12,200,1.0,512,600,600,600,0.6471583134763477,0.0061842178074470655,32928.0,0.6666975245272126
0.7,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.37096688878204725,0.03567003229102949,2640.0,0.9355461022328188
0.7,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.5747784423770244,0.02234091780902314,2983.0,0.9548287945772657
0.7,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5901926164973847,0.023181606972002465,2905.0,0.9513048307139951
0.7,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.7036206347505518,0.00716446506357256,75847.0,0.5373285683864574
0.7,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6402663960874813,0.01517881792051729,8182.0,0.8278542013522425
0.7,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.30843333158143216,0.05637922840805322,1874.0,0.9600155979589772
0.7,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.5510136655888929,0.024770271017996653,2734.0,0.9568502584650107
0.7,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5597043376331992,0.02378788084018419,2924.0,0.9406478015282076
0.7,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.6073547893063995,0.007269315902533453,inf,0.5747144471651575
0.7,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6354836154363672,0.014205158383403952,10085.0,0.7987485175013116
0.7,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.3461610724319789,0.045755464956867414,2410.0,0.9706184636250459
0.7,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.5533231257957039,0.03064411110968157,3960.0,0.9400986974910193
0.7,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.572521595943379,0.026672568376005904,3187.0,0.9548589297534074
0.7,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.6445204235993411,0.002444083110446603,inf,0.3437084201269034
