beta,model_key,seed,holdout_seed,holdout_mode,holdout_m_train,n,train_m,sigma,K,iqp_steps,artr_epochs,maxent_steps,TV,qH,Q80,R_Q10000
0.4,iqp_parity_mse,44,46,global,5000,12,200,1.0,512,600,600,600,0.3654171289346466,0.020175933620940414,7128.0,0.8299396250784424
0.4,classical_nnn_fields_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.555980893653979,0.010616834337666956,4428.0,0.9357489437322737
0.4,classical_dense_fields_xent,44,46,global,5000,12,200,1.0,512,600,600,600,0.5555143086016666,0.009446044978601466,5535.0,0.9001783158492218
0.4,classical_transformer_mle,44,46,global,5000,12,200,1.0,512,600,600,600,0.7208426816562844,0.005539653393343806,1728700.0,0.3898363088862723
0.4,classical_maxent_parity,44,46,global,5000,12,200,1.0,512,600,600,600,0.6578679970647149,0.007692851480738357,10626.0,0.7902716421972786
0.4,iqp_parity_mse,45,46,global,5000,12,200,1.0,512,600,600,600,0.33515317222139596,0.028472036149043818,3261.0,0.9085363750378802
0.4,classical_nnn_fields_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.517637211051354,0.010744124842834291,3821.0,0.9666018069649157
0.4,classical_dense_fields_xent,45,46,global,5000,12,200,1.0,512,600,600,600,0.5359937478664883,0.010750743297923292,4399.0,0.9324181832651746
0.4,classical_transformer_mle,45,46,global,5000,12,200,1.0,512,600,600,600,0.7476769609772661,0.00496696380645288,1182147.0,0.36603531875926787
0.4,classical_maxent_parity,45,46,global,5000,12,200,1.0,512,600,600,600,0.6481382483493325,0.008327358356243568,11007.0,0.7859709015321099
0.4,iqp_parity_mse,46,46,global,5000,12,200,1.0,512,600,600,600,0.33516217629840933,0.028393244652517906,8250.0,0.8201017466023204
0.4,classical_nnn_fields_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.527089802130892,0.012889317178755858,4053.0,0.9545312758096678
0.4,classical_dense_fields_xent,46,46,global,5000,12,200,1.0,512,600,600,600,0.5477484003558276,0.013532892848474696,4220.0,0.9402503614666531
0.4,classical_transformer_mle,46,46,global,5000,12,200,1.0,512,600,600,600,0.6545557571657177,0.009070060328536269,48787.0,0.680576228217764
0.4,classical_maxent_parity,46,46,global,5000,12,200,1.0,512,600,600,600,0.6531978455553766,0.009536444013379388,11006.0,0.7872201158727653
0.5,iqp_parity_mse,42,46,global,5000,12,200,1.0,512,600,600,600,0.34237304407609476,0.02410547513931233,4970.0,0.8997677896661804
0.5,classical_nnn_fields_parity,42,46,global,5000,12,200,1.0,512,600,600,600,0.5376241867943632,0.012320024951442911,3892.0,0.9411607040495378
0.5,classical_dense_fields_xent,42,46,global,5000,12,200,1.0,512,600,600,600,0.534461937462104,0.012493104987651497,3845.0,0.9459781705948813
