beta,model_key,model_label,n_seeds,min,q1,median,mean,std,ci95,q3,max
0.3,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.5172902903445584,1.5456042686556375,1.6051808889245434,1.6525930176206043,0.1465311834662313,0.10481481154408388,1.7437631087858145,1.9593259479378005
0.4,iqp_parity_mse,IQP (parity),10,0.42355226688189773,0.4628768738282635,0.48092180970236587,0.4966843378675366,0.05044913938498782,0.03608663297541248,0.5264911445439187,0.5793141949555318
0.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.8165162098235772,0.8825511104295626,0.9177672201715948,0.9951289845043523,0.20322048790805336,0.14536507955583514,0.9978938156220263,1.4330638894831118
0.4,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9018727877568815,0.927596516836508,0.9504810175183753,0.9602935774351928,0.04409599336753283,0.03154218184371837,0.9991272157031494,1.0283052812543354
0.4,classical_transformer_mle,AR Transformer (MLE),10,1.1555748413643494,1.2162920816222578,1.2669741076679413,1.2959056459581848,0.13804171950262753,0.09874223678964271,1.293901293398826,1.626371878175498
0.4,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.577121104336168,1.5894346157210308,1.6479877067597637,1.6570260395612242,0.07351400027870311,0.05258509419491399,1.713542277346726,1.7728014114124933
0.5,iqp_parity_mse,IQP (parity),10,0.4434090413559548,0.5135484756713276,0.5393045847760449,0.5428380384183357,0.05556814080890943,0.039748291585205174,0.5799612807357868,0.6343509592728849
0.5,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.8499687313698153,0.8931752704464188,0.9387689747008814,0.9711868030527107,0.13777445553175177,0.098551060945176,0.9700258419538788,1.3227543043530647
0.5,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9135998188945639,0.9538155434299591,0.985031477646984,0.9987814633559744,0.06388085036723813,0.04569443263973179,1.0566174300425244,1.0989016674456769
0.5,classical_transformer_mle,AR Transformer (MLE),10,1.0306367654098954,1.0636303483515328,1.1379094320388536,1.1636389700255454,0.11589062316684531,0.08289739794368527,1.2367500715017272,1.3575191425928463
0.5,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.4877118442145556,1.5978589144814646,1.6628199588677923,1.662920662495381,0.11687763026545694,0.08360341123441593,1.7098363017748575,1.83968744287986
0.6,iqp_parity_mse,IQP (parity),10,0.4123339565500443,0.4479056749381095,0.4817636116467656,0.47562887008671717,0.04048386127730113,0.02895839772791462,0.509829171658066,0.529734504739253
0.6,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.902098124553528,0.9318153179844361,0.9632167331107255,0.9689180041881464,0.0487500197958723,0.03487124048822188,1.0122349868271603,1.0320435761330349
0.6,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9641221402994021,0.9939425155848352,1.0122839157827133,1.0310856787113933,0.059078190395014295,0.04225905535012595,1.0525898616750904,1.169314655915399
0.6,classical_transformer_mle,AR Transformer (MLE),10,0.8208281531475712,1.0476987855164583,1.084317070901925,1.0944931711623613,0.1381006016108083,0.09878435558597189,1.1989461509427153,1.2972870674631558
0.6,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.5657371841064012,1.6217955082633846,1.7268107014134813,1.783841745624677,0.22110240802966105,0.15815614588899288,1.8906001465152507,2.266905627039633
0.7,iqp_parity_mse,IQP (parity),10,0.3806477527675025,0.44610011302583696,0.4769482827521311,0.4975859422535551,0.0884326749548907,0.06325652970565261,0.5628114122077863,0.6498655638880966
0.7,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9441085834131591,0.9648880399037538,0.9770268480252182,1.0627878632888645,0.2016562426809992,0.14424616367183016,1.0643259634282556,1.607468056431598
0.7,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9918082317623245,1.0245836518385598,1.043362444154143,1.0473846153215884,0.041916720563220704,0.029983332301363016,1.0604031888384406,1.1227605177840987
0.7,classical_transformer_mle,AR Transformer (MLE),10,0.8691787421210766,0.9452661421905518,1.0024578306592096,1.0322681792973722,0.15725981660312752,0.11248908014526895,1.0831807245858411,1.414785779544053
0.7,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.581141611068088,1.749702947314102,1.854966785000673,1.94925877746816,0.37274715896304556,0.26662872909443197,1.89489066142065,2.8332294316849023
0.8,iqp_parity_mse,IQP (parity),10,0.33550512590970627,0.4019949977068684,0.4548284582132408,0.46849023034167014,0.08626043474618686,0.0617027106296179,0.5287869813859942,0.5980460223330246
0.8,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.940963737282733,0.9950832561371751,1.0344441807204383,1.038861286544789,0.06877164110977382,0.04919285050447636,1.074964079927878,1.177331435704941
0.8,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.0024421630803189,1.0367668267759642,1.0664233839871264,1.0755031494433374,0.05518716759498232,0.039475778699712,1.0994159837314985,1.178454509930297
0.8,classical_transformer_mle,AR Transformer (MLE),10,0.793001497926977,0.88720304732658,0.9471139981017489,0.942771149322482,0.09314834335548526,0.06662968129714725,0.9714762747124979,1.1344151580824566
0.8,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.6707849580546885,1.7669974900457979,2.1885646469588806,2.314249862419454,0.7650722196895402,0.5472616724129128,2.310723734553092,4.064156573122954
0.9,iqp_parity_mse,IQP (parity),10,0.38189240997465035,0.41660238852373327,0.44687230914796633,0.4515499628932399,0.044624090290098437,0.03191993337828153,0.49090702705494005,0.5162541471641444
0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9526834193641597,1.0136229716466083,1.051553002708138,1.082288963271028,0.10080338072402886,0.07210538469465462,1.1596805409139763,1.2251992193327452
0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.0038560682567819,1.0689482907079426,1.0783786008306337,1.0881634657251127,0.052140554967382485,0.037296514731074946,1.0924789233740966,1.201573014467717
0.9,classical_transformer_mle,AR Transformer (MLE),10,0.6817119084699226,0.797248479381524,0.8237530432475662,0.8377267369108526,0.0996556486776584,0.07128440369049076,0.8807676083840413,1.0485829882510576
0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.688483715976206,2.016627550319367,2.1889791606806206,2.2363982454297577,0.46029730435701677,0.32925397904500653,2.3472749722252804,3.306222055503942
1.0,iqp_parity_mse,IQP (parity),10,0.3338821754698057,0.4172632559376604,0.44344160899754476,0.4583940184598698,0.08485008712739688,0.0606938788139028,0.4827763245993286,0.6583659112202054
1.0,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9749588147731145,1.034649727663934,1.1037959563287583,1.0852394860773613,0.06776625220149692,0.04847368857281939,1.1415593305531917,1.1536100749012923
1.0,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.0667582189549405,1.0901314526991144,1.1316637007812895,1.1330506869755155,0.056611842691808176,0.04049485906372042,1.1619870548760227,1.253552172981106
1.0,classical_transformer_mle,AR Transformer (MLE),10,0.711471903310793,0.7471884668296542,0.7661420333382912,0.7622244852328339,0.030036321303699758,0.02148519709219689,0.7749594558365391,0.8212793614272889
1.0,classical_maxent_parity,"MaxEnt parity (P,z)",10,1.6462591026954367,2.42532413559871,2.8133686167521694,2.899630354659851,0.6956833394499002,0.4976273063105673,3.5622963658494644,3.7668161441652277
1.1,iqp_parity_mse,IQP (parity),10,0.3118546623272715,0.38713204253696853,0.4220700526077027,0.4270128103682138,0.07055090932372542,0.05046557388062171,0.48382341711686194,0.5345029682298934
1.1,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9622730314274549,1.0000018329755935,1.0103767262722139,1.0435465077353339,0.0776763268557304,0.05556243639222577,1.0761255562246412,1.2259008005585863
1.1,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.0233623201769,1.0511845766160337,1.089015230039271,1.095661876092092,0.062772184187243,0.044901395731323346,1.1199651765697074,1.225715977236572
1.1,classical_transformer_mle,AR Transformer (MLE),10,0.544414887829173,0.6321139010359627,0.6817066390524875,0.6800493095287314,0.08097538296653119,0.05792227500368852,0.7116106621994647,0.8370794167733147
1.1,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.1789260595472797,2.6241564049428736,3.058366656526818,3.0378188770929424,0.5636697719224453,0.4031970500720298,3.318598142598641,3.9925403602091403
1.2,iqp_parity_mse,IQP (parity),10,0.33294942315274867,0.3710519566217454,0.3813626943081464,0.39027115760948095,0.03620667203483849,0.02589889343823269,0.4067950243007752,0.46603949620019014
1.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.9068014249294174,0.938334080851884,0.9811597683139998,1.0196650598494452,0.11535669368533741,0.082515474337677,1.0590122408104234,1.2741285149422539
1.2,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9474045464236727,1.0005826064483971,1.0300556639666685,1.0482811179159892,0.07645484047852726,0.05468869838368975,1.1128152441327506,1.1613414111744897
1.2,classical_transformer_mle,AR Transformer (MLE),10,0.3929893533584806,0.536338564616986,0.5870140713351639,0.5772459325304125,0.10516514138498416,0.07522538352946773,0.6098133927593197,0.7859756557407418
1.2,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.207274426256547,2.4044091429261645,2.623245480547779,2.7277592593660165,0.551496117154062,0.3944891470839611,2.7349763696352634,4.09718760816893
1.3,iqp_parity_mse,IQP (parity),10,0.3040222012773635,0.34008325009127194,0.370987564764503,0.37810030823074553,0.06253300056052549,0.044730305959400474,0.41121963864392574,0.5092382285118423
1.3,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,0.8616405412875947,0.8820268851657143,0.9032268508265819,0.9344589454565592,0.07737510641131504,0.05534697123752103,0.9681328916101207,1.0829171731357417
1.3,classical_dense_fields_xent,Dense Ising+fields (xent),10,0.9766282140737195,1.0039384309536037,1.0691938955578495,1.1201115244928506,0.14598110636051995,0.10442133742611132,1.2020723254185712,1.3917276761803188
1.3,classical_transformer_mle,AR Transformer (MLE),10,0.4285773954523777,0.4684121864012133,0.5523576536979298,0.5249910574111951,0.06494863724170193,0.04645822828628753,0.5777324911786549,0.6022233104176767
1.3,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.007096408609296,2.1600948136717997,2.305384883515284,2.2996622010658387,0.18806896478317514,0.1345270858716722,2.441826412488431,2.555693035916676
1.4,iqp_parity_mse,IQP (parity),10,0.22759152035789912,0.2827725265293775,0.31003721989984356,0.33173272696007394,0.08467484620906475,0.06056852772210584,0.35656784282160714,0.5354632089954817
