beta,seed,model_key,model_label,n,train_m,sigma,K,iqp_steps,classical_steps,transformer_variant,transformer_d_model,transformer_heads,transformer_layers,transformer_dim_ff,transformer_epochs,maxent_steps,KL_pstar_to_q
0.2,106,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9769605895453211
0.2,106,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.400671083843395
0.2,106,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5349879409432572
0.2,107,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5541518382195716
0.2,107,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8168078409315536
0.2,107,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9382198911341814
0.2,107,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.2226623283817761
0.2,107,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.6400180495140138
0.2,108,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5700246282366124
0.2,108,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4707922486619838
0.2,108,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.923448960753288
0.2,108,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1052811820632855
0.2,108,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5142203216220718
0.2,109,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.546963509390054
0.2,109,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9925363741151734
0.2,109,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9186325810226421
0.2,109,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.3681533084205886
0.2,109,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5032891481347743
0.2,110,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5270034189898436
0.2,110,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8440130726554795
0.2,110,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8774114943082204
0.2,110,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9890254581731188
0.2,110,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4868779187834837
0.3,101,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5080675112927995
0.3,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.051493233389087
0.3,101,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.915237402558015
0.3,101,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.076802821576237
0.3,101,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.4890092584042856
0.3,102,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.44954576275957514
0.3,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8329032249434294
0.3,102,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.926968712029913
0.3,102,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.2597683921006015
0.3,102,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5731492835664662
0.3,103,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5582844893505275
0.3,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.7328961192054377
0.3,103,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.0069719257685907
0.3,103,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.236501034550793
0.3,103,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.563020253670784
0.3,104,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5001641435043002
0.3,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8971264381150587
0.3,104,classical_dense_fields_xent,Dense Ising+fields (xent),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.9911880985278325
0.3,104,classical_transformer_mle,AR Transformer (MLE),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.1930405482123354
0.3,104,classical_maxent_parity,"MaxEnt parity (P,z)",12,200,1.0,512,600,600,medium,32,4,1,64,600,600,1.5639984400134654
0.3,105,iqp_parity_mse,IQP (parity),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.5277635205881575
0.3,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),12,200,1.0,512,600,600,medium,32,4,1,64,600,600,0.8750711029237431
