seed,model_key,model_label,backend_name,account_name_used,job_id,beta,n,train_m,layers,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,shots,exact_kl,hardware_kl,kl_delta_hardware_minus_exact,transpiled_depth,transpiled_size,two_qubit_ops,exact_coverage_Q1000,hardware_coverage_Q1000,coverage_delta_Q1000,exact_coverage_Q2000,hardware_coverage_Q2000,coverage_delta_Q2000,exact_coverage_Q5000,hardware_coverage_Q5000,coverage_delta_Q5000
116,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b87ljklj2c73eutnl0,0.9,12,200,1,1.0,512,0.1,204,144,107,10000,0.40983808455563064,2.8190279220569336,2.409189837501303,255,462,105,0.07684277540081282,0.06529676255562072,-0.011546012845192091,0.04898955989558068,0.04483382930083148,-0.004155730594749198,0.024230792200866314,0.023264540131675192,-0.0009662520691911224
116,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b87nu5nvhs73a30jng,0.9,12,200,1,1.0,512,0.1,204,144,107,10000,0.5518511089168345,3.3025313449590143,2.7506802360421796,253,442,105,0.07254760857102593,0.0607702107961919,-0.011777397774834032,0.04610634437881931,0.041578893087776556,-0.004527451291042754,0.023021353889146265,0.021749832206476083,-0.001271521682670182
117,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b87q65nvhs73a30jr0,0.9,12,200,1,1.0,512,0.1,204,133,121,10000,0.5162541471641445,2.9445986604263337,2.4283445132621893,250,399,90,0.06730322148997497,0.05251974422302296,-0.014783477266952012,0.042953407236689535,0.03678569537008458,-0.006167711866604954,0.02110723970938997,0.019545761466771224,-0.001561478242618746
117,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b87se5nvhs73a30jug,0.9,12,200,1,1.0,512,0.1,204,133,121,10000,0.5250827765343621,2.8369190362384895,2.3118362597041275,259,435,99,0.060950266334508334,0.051620184881924665,-0.009330081452583669,0.040118949118434645,0.03637474848405832,-0.0037442006343763254,0.020460435063649977,0.019460836443264212,-0.0009995986203857644
118,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b87um5nvhs73a30k1g,0.9,12,200,1,1.0,512,0.1,204,127,131,10000,0.38189240997465035,2.5343340953836004,2.15244168540895,266,423,102,0.07170436148449864,0.060297035312303106,-0.011407326172195538,0.04556962386729668,0.04126676484597465,-0.004302859021322034,0.02205963723396197,0.02129542243427912,-0.0007642147996828504
118,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b88165nvhs73a30k4g,0.9,12,200,1,1.0,512,0.1,204,127,131,10000,0.5179591947171425,2.697837773139315,2.179878578422173,265,472,108,0.06554388382221864,0.05709048852074075,-0.008453395301477887,0.042057007350303315,0.03996107703937064,-0.0020959303109326713,0.020696521840559565,0.020886590707422093,0.00019006886686252777
119,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b8833klj2c73euto6g,0.9,12,200,1,1.0,512,0.1,204,138,120,10000,0.47065212991250244,2.706729302953459,2.2360771730409565,256,416,96,0.0776561281400228,0.06135848745281503,-0.016297640687207772,0.048936961022941206,0.042524368885141245,-0.006412592137799961,0.023560424521085872,0.022221226722761805,-0.0013391977983240669
119,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b88595a5qc73dn599g,0.9,12,200,1,1.0,512,0.1,204,138,120,10000,0.5381169440727629,2.833769684713796,2.2956527406410334,267,475,111,0.06665376062074585,0.05714980588269251,-0.009503954738053343,0.04231139891697481,0.03972383137261228,-0.0025875675443625262,0.020988712005295344,0.020884018386254675,-0.00010469361904066887
120,parity_global_best,IQP (parity),ibm_fez,seedwise-open-plan,d7b88c15a5qc73dn59gg,0.9,12,200,1,1.0,512,0.1,204,135,127,10000,0.4377398496288411,3.0593272773497215,2.6215874277208804,256,425,99,0.06737440215692149,0.054298274785378055,-0.013076127371543435,0.04264085551555843,0.038592343883383465,-0.004048511632174963,0.021262783845338067,0.020647357572400996,-0.000615426272937071
120,iqp_mse,IQP MSE,ibm_fez,seedwise-open-plan,d7b88ebklj2c73eutomg,0.9,12,200,1,1.0,512,0.1,204,135,127,10000,0.375588224151702,3.0863388859901577,2.7107506618384556,262,416,96,0.07373971827977854,0.05732445264165994,-0.016415265638118605,0.04617592454659949,0.041104198656704685,-0.005071725889894803,0.022281505600507782,0.022009986395006367,-0.0002715192055014158
