beta,n,model_key,model_label,seeds_n,KL_pstar_to_q_mean,KL_pstar_to_q_std,TV_mean,TV_std,qH_mean,qH_std,Q80_mean,Q80_std,R_Q10000_mean,R_Q10000_std
0.9,8,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.491304147187712,0.05727705454494281,0.5991957793081746,0.008318076763245318,0.07072495716230569,0.0064303120720768025,768.4,126.18177364421535,0.9845057216047483,0.0183761388653129
0.9,9,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.34345981448335,0.028416216520394305,0.5954913485977119,0.007245143516483347,0.05515063838297268,0.001858699881887004,1468.6,195.22868641672517,0.9766437965422188,0.011518588758587883
0.9,10,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.1025534338045806,0.07909927698044934,0.5699760198607555,0.0114970946481413,0.044724356536833855,0.004471643019948644,4494.4,1102.1556332932296,0.9032621084185921,0.030375664471011258
0.9,11,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.1330016277866428,0.03422609728251151,0.5845624001810585,0.00505248815520692,0.03743216153176253,0.003827426465215517,3818.0,600.5374259777653,0.9253268271091857,0.00898300196474295
0.9,12,classical_dense_fields_xent,Dense Ising+fields (xent),5,1.1473930106611039,0.04675589091374192,0.5885769035085502,0.007655129413949567,0.040228545806886465,0.0031006859395428885,3606.2,391.1922289616705,0.9251665385388537,0.010205075108757686
0.9,8,classical_transformer_mle,AR Transformer (MLE),5,2.9013877167326596,0.39354295318556487,0.5766802666338406,0.014854289680782323,0.05505749956096486,0.011537465359749376,1886.4,261.59327208473843,0.9337584258341229,0.029120665996049896
0.9,9,classical_transformer_mle,AR Transformer (MLE),5,2.2007552950943396,0.4615651970797808,0.5820331707819617,0.015944314234578486,0.04172623451057257,0.006617037096026404,2503.2,1266.6569227695397,0.9496145770813763,0.044233479615550235
0.9,10,classical_transformer_mle,AR Transformer (MLE),5,1.158766800189832,0.0625455211895881,0.5228002215567067,0.020260144145209946,0.029477166660298593,0.005577180851640868,2682.8,232.30876005867708,0.9614303637305058,0.021706992401128253
0.9,11,classical_transformer_mle,AR Transformer (MLE),5,1.133927492912294,0.10756570696300403,0.5230464506279133,0.006375660597412095,0.023480092728878355,0.003688135131111306,3597.6,630.1477921884675,0.932532213964914,0.026801250352845585
0.9,12,classical_transformer_mle,AR Transformer (MLE),5,1.1196540229638958,0.09181958081809928,0.5315802053214723,0.013557458280256268,0.028507468497091154,0.009391094975811672,3332.2,484.265794786293,0.9448728734100469,0.016002145227517146
0.9,8,classical_maxent_parity,"MaxEnt parity (P,z)",5,3.250812545676267,0.5719909446462165,0.6158169478801967,0.0179685616371323,0.017485586866038946,0.006367389156594339,169456.6,190212.32785348062,0.6771340051487774,0.1628293759985908
0.9,9,classical_maxent_parity,"MaxEnt parity (P,z)",5,2.8018671507187674,0.5333382030156527,0.6414962586756678,0.007576370614330063,0.008785366323309602,0.003065322094772989,60535.4,84628.6785967972,0.6514017586547156,0.16378002283301443
0.9,10,classical_maxent_parity,"MaxEnt parity (P,z)",5,2.2249835253114574,0.4371420700469157,0.584013747924665,0.018904403759403412,0.010491427713152889,0.005438809920164361,55027.0,32710.484887876548,0.6494514784955847,0.06319934532072632
0.9,11,classical_maxent_parity,"MaxEnt parity (P,z)",5,2.06792616502509,0.17785221109889515,0.6080655546979014,0.006165454203576675,0.014182230676999174,0.004145117031433552,33619.8,20936.450333330147,0.7015151938082674,0.06906944573846362
0.9,12,classical_maxent_parity,"MaxEnt parity (P,z)",5,2.1935808586858174,0.14222322213638153,0.6274138249264426,0.013921742891251993,0.012286632425196543,0.0063003848812967665,46324.0,41014.22274772496,0.6613219384468778,0.06638126731559403
