beta,n,seed,model_key,model_label,holdout_mode,holdout_seed,holdout_m_train,holdout_k,holdout_pool,train_m,sigma,K,layers,iqp_steps,artr_epochs,maxent_steps,KL_pstar_to_q,TV,qH,Q80,R_Q10000
0.9,10,105,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.6768594013876352,0.3923281277541357,0.08908842467309647,1746.0,0.9623977345871453
0.9,10,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0455758927272876,0.5649368434300541,0.043250354297660526,3193.0,0.9505331978042442
0.9,10,105,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0045499231546686,0.5551005465675058,0.0504030519233017,4040.0,0.9073628627254902
0.9,10,105,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0688099326479974,0.48409506838406613,0.026802457264970683,2661.0,0.9741566953680142
0.9,10,105,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.2206507492564747,0.5546342050145642,0.006157722514139396,45400.0,0.5867257748366086
0.9,11,101,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.5849492524731132,0.3877463020210382,0.07019215579703662,1301.0,0.9905781247433506
0.9,11,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0946130019698788,0.5797599241952145,0.03671705105872124,3104.0,0.9353556856295592
0.9,11,101,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1350516366932066,0.5928129742679539,0.03462897340355525,2996.0,0.9246881023188065
0.9,11,101,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.057332502491617,0.5141808653140111,0.02658166639664928,2843.0,0.9472686725974215
0.9,11,101,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,1.9573760538144498,0.6140707748540273,0.012548126471339884,8681.0,0.8156223513778752
0.9,11,102,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.6887373474426194,0.4221902415823128,0.08496789278283073,1517.0,0.9587089384914107
0.9,11,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1178335335477203,0.5714571182636372,0.03983662807675258,3381.0,0.9475320659792381
0.9,11,102,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1200860498454035,0.5777157953814891,0.04021117346496956,4168.0,0.9270931526215076
0.9,11,102,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2872627733689916,0.5303072536184781,0.016855373823082446,3543.0,0.9477545180605791
0.9,11,102,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,1.8394721176490798,0.6012404632444492,0.022073886485061894,25212.0,0.7191973972353035
0.9,11,103,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.8734277326142306,0.4116750254158756,0.0424460279762314,2568.0,0.9404501497557272
0.9,11,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1227539240495283,0.5805817098343982,0.03679877113998014,4014.0,0.9204063158692157
0.9,11,103,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1655623195425955,0.5862550821500905,0.03194803929666346,4714.0,0.909943310528163
0.9,11,103,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1240649380265697,0.5268099228643175,0.02474550932063277,3056.0,0.9597880060151802
0.9,11,103,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.2999857199226312,0.6136299580802052,0.010223161873223,17781.0,0.7132319540239361
0.9,11,104,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.5323975800369435,0.3680621625674404,0.0954618943293904,1380.0,0.9956341231730896
0.9,11,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.107668700670937,0.5715824702027197,0.04063131773370288,3629.0,0.9171315678512588
0.9,11,104,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1690079678820977,0.5846000152828028,0.042678189881030594,3369.0,0.926901605974875
0.9,11,104,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2148123325541667,0.527231784336623,0.0223335345133975,4595.0,0.8843926235043227
0.9,11,104,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,1.990680727131862,0.6114030044038887,0.011882834789650857,62604.0,0.6232217943810131
0.9,11,105,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.6448824945824743,0.4125565715664949,0.07859469713352402,2906.0,0.9141865444725369
0.9,11,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1013589180016456,0.5720471268480216,0.03847938036647298,4230.0,0.9097136521037802
0.9,11,105,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0753001649699103,0.5814281338229565,0.037694431612593796,3843.0,0.938007964102576
0.9,11,105,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.9861649181201256,0.5167024270061378,0.026884379590629774,3951.0,0.9234572496470662
0.9,11,105,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.252116206607427,0.5999835729069363,0.014183143765720227,53821.0,0.6363024720232092
0.9,12,101,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.4795824408313427,0.3554855136769286,0.08991902856352603,3807.0,0.888149842429816
0.9,12,101,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2254832425122122,0.5912490581742866,0.03846686693895123,5678.0,0.8926531024533579
0.9,12,101,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1218839205307816,0.5956236348582907,0.03922369051910256,3569.0,0.9245872073262765
0.9,12,101,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1504269374825955,0.5366761501296324,0.02685174623050603,3899.0,0.9318527927120412
0.9,12,101,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.285324425386265,0.6268370655656059,0.005145141671129944,128057.0,0.5315295644391849
0.9,12,102,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.7211466904992093,0.40844334110646785,0.07203121701486685,2329.0,0.9119371009487338
0.9,12,102,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1431525382821421,0.5763827548184524,0.04746201506894785,6435.0,0.8656844130545795
0.9,12,102,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0979218041968364,0.581284123815812,0.04232468347324379,4233.0,0.9161857585693596
0.9,12,102,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2373231360825838,0.5179236416236512,0.019325488543398918,3610.0,0.9504495478401077
0.9,12,102,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.067605872364203,0.6218643391130307,0.008563616543763591,26790.0,0.6774623902655169
0.9,12,103,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2234002130782313,0.44718040662564124,0.037995252152030166,2491.0,0.9563077869341388
0.9,12,103,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1391464331012793,0.586490717928839,0.03785126493364592,5246.0,0.8818673956435349
0.9,12,103,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2051970925241111,0.5910117716388752,0.04407288475350509,3023.0,0.9311618191299174
0.9,12,103,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0677378145258922,0.5487121172985555,0.04549639021910508,3239.0,0.9519936748187711
0.9,12,103,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.2584086050512804,0.6359634575849709,0.014625883661630989,22160.0,0.7164538363995753
0.9,12,104,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.5951567290984181,0.39442059175970173,0.06784509470757336,3221.0,0.9057813325706482
0.9,12,104,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2155850332164555,0.5955558004734848,0.03406931399882382,3960.0,0.8787741450241928
0.9,12,104,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.2025838522337187,0.5970176895886611,0.03495818109990954,3727.0,0.912852316674635
0.9,12,104,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1714092993938188,0.5410116475541416,0.020616729455460496,3448.0,0.922351984469761
0.9,12,104,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,2.3682563001390182,0.6469616176838745,0.023324229669374266,31875.0,0.6999084163072486
0.9,12,105,iqp_parity,IQP (parity),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.6881641164733616,0.4290742348105002,0.07910605897994714,3208.0,0.9073781047986295
0.9,12,105,classical_nnn_fields_parity,Ising+fields (NN+NNN),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.0595050803731203,0.572015363677419,0.0402724244089183,3787.0,0.9249869374069701
0.9,12,105,classical_dense_fields_xent,Dense Ising+fields (xent),global,46,5000,20,400,200,1.0,512,1,300,300,300,1.1093783838200724,0.5779472976411117,0.04056328918867136,3479.0,0.9410455909940794
0.9,12,105,classical_transformer_mle,AR Transformer (MLE),global,46,5000,20,400,200,1.0,512,1,300,300,300,0.9713729273345892,0.5135774700013804,0.03024698803698524,2465.0,0.9677163672095535
0.9,12,105,classical_maxent_parity,"MaxEnt parity (P,z)",global,46,5000,20,400,200,1.0,512,1,300,300,300,1.9883090904883207,0.6054426446847311,0.009774290580083925,22738.0,0.6812554848228635
