beta,model_key,model_label,qH,qH_ratio,Q80,Q80_pred,R_Q1000,R_Q10000,fit_tv_to_pstar,fit_kl_pstar_to_q,fit_js_dist_to_pstar,fit_prob_mse_to_pstar,holdout_size,p_star_holdout,sigma,K,seed,train_m
1.0,classical_transformer_mle,AR Transformer (MLE),0.014630856108055163,1.2484997212207072,12471.0,1320.0358753153275,0.4357836755706332,0.7795702670407668,0.5854172432326982,3.8146858335207705,0.5907092371033325,5.0375389912080465e-05,12.0,0.5105780673651632,2.0,128.0,46.0,500.0
1.0,classical_maxent_parity,"MaxEnt parity (P,z)",0.05415150113464406,4.62092809682296,389.0,356.65225422261324,0.9762579045503665,0.9999999999997357,0.6174399363592872,1.5214149514861774,0.5687483385511922,4.5517086968324054e-05,12.0,0.5105780673651632,2.0,128.0,46.0,500.0
1.2,iqp_parity_mse,IQP (parity),0.1319869341808337,11.26288505009781,219.0,146.3270214515957,0.9562361294078325,0.9999934118748545,0.6208033558555763,1.4357229056757133,0.5310854941367634,9.67177691571654e-05,12.0,0.6734427318588978,2.0,128.0,46.0,500.0
1.2,iqp_prob_mse,IQP (prob-MSE),0.025968699542866746,2.215995694324629,2367.0,743.712826948791,0.6516247520836179,0.9318683162766014,0.7962713420485329,3.1559772769456353,0.6606342045519787,0.00011086860463962591,12.0,0.6734427318588978,2.0,128.0,46.0,500.0
1.2,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.05833424557613579,4.977855622496921,1034.0,331.0791929931146,0.7947993077453056,0.9929170512533373,0.7398813846044763,2.160905213464706,0.6347133629060385,0.00010100262111508849,12.0,0.6734427318588978,2.0,128.0,46.0,500.0
1.2,classical_dense_fields_xent,Dense Ising+fields (xent),0.04789285681798227,4.086857115134487,453.0,403.25961390462885,0.9593315388347389,0.9999999994103316,0.68540671013904,2.126121744444411,0.6169715566850267,0.00010597116418053949,12.0,0.6734427318588978,2.0,128.0,46.0,500.0
1.2,classical_transformer_mle,AR Transformer (MLE),0.04505425210050212,3.8446295125761805,4175.0,428.66664185496404,0.7065299316670908,0.8466520456872578,0.65585757996094,5.13011860912171,0.623650220564814,0.0001118745046247941,12.0,0.6734427318588978,2.0,128.0,46.0,500.0
1.2,classical_maxent_parity,"MaxEnt parity (P,z)",0.059413223271038845,5.069928385795315,391.0,325.06660783414367,0.9691191137451051,0.9999999999501515,0.6930136035355925,1.9458716894437265,0.6131598070834731,0.0001032231733187278,12.0,0.6734427318588978,2.0,128.0,46.0,500.0
1.4,iqp_parity_mse,IQP (parity),0.16647944853859242,14.20624627529322,213.0,116.0098445708877,0.954621519842244,0.9999991211945319,0.6782062480071933,1.680771909093222,0.5766258845601091,0.0001729858651510882,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,iqp_prob_mse,IQP (prob-MSE),0.025974172523780162,2.2164627220292403,2661.0,743.5561202778383,0.6455106528977058,0.9121031578049265,0.8648067779570403,3.9296349667226647,0.7135819018217464,0.0001981400803134738,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_nnn_fields_parity,Ising+fields (NN+NNN),0.06869602019479747,5.86206038995605,607.0,281.14081273476523,0.8706022035376475,0.9864155940136793,0.7858914263938498,2.3573525669418327,0.6648604179710677,0.00018362101559508577,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_dense_fields_xent,Dense Ising+fields (xent),0.048495114202203815,4.1382497452547256,434.0,398.25156135690736,0.9679091413566673,0.9999999999961638,0.7674398999712551,2.807731037138597,0.6652887438165416,0.00019396229049040262,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_transformer_mle,AR Transformer (MLE),0.023812128590970406,2.0319683064294747,22413.0,811.0679763644825,0.4460769067471751,0.7625608379724446,0.7823822762024067,7.883849358428456,0.685923641102798,0.00020180801308963844,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
1.4,classical_maxent_parity,"MaxEnt parity (P,z)",0.06504643628803816,5.55062922991259,353.0,296.9148819112301,0.9781902449258276,0.9999999999923412,0.7634369325089836,2.3979157826859345,0.6559529053897187,0.0001881672490891593,12.0,0.8000826095639452,2.0,128.0,46.0,500.0
