seed,curve_key,Q,R_Q
114,spectral,29,0.021552880748273724
114,parity_sim,29,0.03626411492414205
114,parity_hw,29,0.021606192702646597
114,mse_sim,29,0.03542606616012385
114,mse_hw,29,0.019131327136724555
114,target,31,0.042969611683878965
114,uniform,31,0.0075407085143994745
114,spectral,31,0.02301597260612917
114,parity_sim,31,0.03864967347122167
114,parity_hw,31,0.02306379240978301
114,mse_sim,31,0.037767734193473755
114,mse_hw,31,0.020425933128769655
114,target,34,0.046987907811644095
114,uniform,34,0.008267429958422124
114,spectral,34,0.025205044864177455
114,parity_sim,34,0.04220144944294971
114,parity_hw,34,0.02524250561184945
114,mse_sim,34,0.04125688026770927
114,mse_hw,34,0.02236196926014051
114,target,36,0.04965345610425195
114,uniform,36,0.008751615265520263
114,spectral,36,0.026660726175655212
114,parity_sim,36,0.044551770035617944
114,parity_hw,36,0.02668988000108356
114,mse_sim,36,0.04356756334633437
114,mse_hw,36,0.02364876171074664
114,target,39,0.0536319393049229
114,uniform,39,0.009477450031459167
114,spectral,39,0.028838715210377095
114,parity_sim,39,0.048051256651638855
114,parity_hw,39,0.028853329440575864
114,mse_sim,39,0.047010730604214936
114,mse_hw,39,0.025573131784223775
114,target,42,0.05758677548731334
114,uniform,42,0.010202753309916712
114,spectral,42,0.031010085481917887
114,parity_sim,42,0.05151990583180783
114,parity_hw,42,0.031007691374578206
114,mse_sim,42,0.050426780857716735
114,mse_hw,42,0.027490553926571508
114,target,46,0.0628234147131711
114,uniform,46,0.01116899826216803
114,spectral,46,0.03389499019194093
114,parity_sim,46,0.05609748269226196
114,parity_hw,46,0.03386612872089384
114,mse_sim,46,0.05493992828794543
114,mse_hw,46,0.030036375275496945
114,target,50,0.06801875146893648
114,uniform,50,0.012134299961333125
114,spectral,50,0.0367682244673674
114,parity_sim,50,0.060621855159037494
114,parity_hw,50,0.03670862771020497
114,mse_sim,50,0.05940628239692235
114,mse_hw,50,0.032570003363022876
114,target,54,0.07317320019903338
114,uniform,54,0.013098659328220075
114,spectral,54,0.03962984292634252
114,parity_sim,54,0.06509392137311121
114,parity_hw,54,0.039535310916240504
114,mse_sim,54,0.06382662643975186
114,mse_hw,54,0.03509152763904337
114,target,58,0.07828717061075556
114,uniform,58,0.014062077282738509
114,spectral,58,0.042479899904642855
114,parity_sim,58,0.06951456066264294
114,parity_hw,58,0.042346299785962896
114,mse_sim,58,0.0682017257383607
114,mse_hw,58,0.03760103668843179
114,target,63,0.08462332758362431
114,uniform,63,0.015265027264714348
114,spectral,63,0.04602629511808875
114,parity_sim,63,0.07496935059480607
114,parity_hw,63,0.04583814892534642
114,mse_sim,63,0.07360811217266167
114,mse_hw,63,0.04072116015772371
114,target,68,0.09089765062894764
114,uniform,68,0.016466509518726875
114,spectral,68,0.04955481492142052
114,parity_sim,68,0.08034677229825332
114,parity_hw,68,0.04930589620264328
114,mse_sim,68,0.07894639459632848
114,mse_hw,68,0.04382281634283134
114,target,73,0.09711090955919001
114,uniform,73,0.01766652583556175
114,spectral,73,0.0530655636006192
114,parity_sim,73,0.08564842576352001
114,parity_hw,73,0.05274977155845926
114,mse_sim,73,0.08421795659350172
114,mse_hw,73,0.04690617270034997
114,target,79,0.10448728336541012
