seed,model_key,model_label,backend_name,account_name_used,job_id,beta,n,train_m,layers,sigma,K,elite_frac,elite_total_count,elite_unseen_count,train_unique_count,shots,exact_kl,hardware_kl,kl_delta_hardware_minus_exact,transpiled_depth,transpiled_size,two_qubit_ops,exact_coverage_Q1000,hardware_coverage_Q1000,coverage_delta_Q1000,exact_coverage_Q2000,hardware_coverage_Q2000,coverage_delta_Q2000,exact_coverage_Q5000,hardware_coverage_Q5000,coverage_delta_Q5000
116,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7sse5nvhs73a306s0,0.9,12,200,1,1.0,512,0.1,204,144,107,10000,0.40983808455563064,2.671790869447036,2.261952784891405,256,488,117,0.07684277540081282,0.06908725630429753,-0.007755519096515284,0.04898955989558068,0.04617167519336074,-0.0028178847022199416,0.024230792200866314,0.02350370001037515,-0.0007270921904911631
116,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7sujklj2c73euta80,0.9,12,200,1,nan,-1,0.1,204,144,107,10000,0.5518511089168345,3.8307174530463057,3.2788663441294714,261,469,111,0.07254760857102593,0.05220537551146046,-0.020342233059565472,0.04610634437881931,0.036716126977359424,-0.009390217401459885,0.023021353889146265,0.019978706718813737,-0.0030426471703325284
117,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7t0u5nvhs73a3071g,0.9,12,200,1,3.0,512,0.1,204,133,121,10000,0.46685411414655487,2.3867793529223427,1.9199252387757877,255,462,105,0.06797330182596488,0.06150204348159712,-0.006471258344367757,0.04331954329363796,0.041356865182734,-0.001962678110903962,0.021485143922159982,0.021099305738142143,-0.0003858381840178386
117,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7t2rklj2c73eutaeg,0.9,12,200,1,nan,-1,0.1,204,133,121,10000,0.5250827765343621,2.824921271599182,2.29983849506482,250,393,90,0.060950266334508334,0.053728800689336255,-0.007221465645172079,0.040118949118434645,0.037517324547794405,-0.0026016245706402402,0.020460435063649977,0.020087656789735824,-0.00037277827391415247
118,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7t515a5qc73dn4sf0,0.9,12,200,1,2.0,512,0.1,204,127,131,10000,0.35348524382488633,2.4876079654215832,2.1341227215966967,275,461,108,0.0725552716670748,0.05845329368902744,-0.01410197797804736,0.04630847990131524,0.03991773059388497,-0.00639074930743027,0.022457111889434528,0.020590205602492008,-0.0018669062869425199
118,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7t9rklj2c73eutaog,0.9,12,200,1,nan,-1,0.1,204,127,131,10000,0.5179591947171425,2.8056352454371334,2.287676050719991,256,469,105,0.06554388382221864,0.05646641594104945,-0.009077467881169185,0.042057007350303315,0.038363745106917195,-0.0036932622433861195,0.020696521840559565,0.019735292021608064,-0.0009612298189515013
119,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7tc30g7hs73dp7vk0,0.9,12,200,1,1.0,256,0.1,204,138,120,10000,0.44684992000296503,2.579876859701953,2.1330269396989876,268,420,99,0.07932339372301894,0.06649602791743871,-0.012827365805580235,0.05016231487316361,0.045188178569696376,-0.0049741363034672345,0.02405024541804215,0.022747760870864674,-0.0013024845471774765
119,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7te65nvhs73a307j0,0.9,12,200,1,nan,-1,0.1,204,138,120,10000,0.5381169440727629,2.9428373793712086,2.4047204352984455,250,456,108,0.06665376062074585,0.060313481374011275,-0.0063402792467345745,0.04231139891697481,0.04011849395275849,-0.0021929049642163204,0.020988712005295344,0.02054227089551589,-0.00044644110977945517
120,parity_seedwise_best,"IQP (parity, seedwise best)",ibm_marrakesh,seedwise-open-plan,d7b7tg65nvhs73a307lg,0.9,12,200,1,3.0,512,0.1,204,135,127,10000,0.42388287487074333,3.431413993941126,3.0075311190703826,255,463,108,0.07033807581288684,0.049242936627050794,-0.021095139185836047,0.04431375665537844,0.035733263839486905,-0.008580492815891537,0.02168812576473221,0.01978398600129612,-0.0019041397634360913
120,iqp_mse,IQP MSE,ibm_marrakesh,seedwise-open-plan,d7b7tih5a5qc73dn4su0,0.9,12,200,1,nan,-1,0.1,204,135,127,10000,0.375588224151702,2.3712068946946463,1.9956186705429442,256,460,108,0.07373971827977854,0.06447066055459573,-0.009269057725182814,0.04617592454659949,0.042464497862010946,-0.0037114266845885424,0.022281505600507782,0.021271692035179153,-0.0010098135653286294
