n,beta,score_level_raw,score_level_display,target_mass
12,0.7,6,5,0.13787827537875366
12,0.7,7,6,0.11568864597721883
12,0.7,8,7,0.09318732962408716
12,0.7,9,8,0.07037108899966849
12,0.7,10,9,0.047236657000242765
12,0.7,11,10,0.047561472963046525
12,0.8,1,0,0.0009536800096700368
12,0.8,2,1,0.025698901205518362
12,0.8,3,2,0.09204652366198521
12,0.8,4,3,0.13069697730678398
12,0.8,5,4,0.13974477252620932
12,0.8,6,5,0.13509837211219491
12,0.8,7,6,0.12527789854516466
12,0.8,8,7,0.11152443625911633
12,0.8,9,8,0.09307582403314228
12,0.8,10,9,0.06904801861297365
12,0.8,11,10,0.07683459572724134
12,0.9,1,0,0.0005333468570824586
12,0.9,2,1,0.015883677618232343
12,0.9,3,2,0.0628743268328294
12,0.9,4,3,0.09866450672588896
12,0.9,5,4,0.11658976439680757
12,0.9,6,5,0.12456740513568597
12,0.9,7,6,0.12766099050853383
12,0.9,8,7,0.12559814777126713
12,0.9,9,8,0.11584559813015952
12,0.9,10,9,0.09497806452492605
12,0.9,11,10,0.11680417149858686
12,1.0,1,0,0.0002804365245279323
12,1.0,2,1,0.00923007751026753
12,1.0,3,2,0.040379141454018094
12,1.0,4,3,0.07002838803479611
12,1.0,5,4,0.0914540733094556
12,1.0,6,5,0.10798824786924359
12,1.0,7,6,0.12230937161254005
12,1.0,8,7,0.1329885369218449
12,1.0,9,8,0.13556262124050217
12,1.0,10,9,0.12283246997877774
12,1.0,11,10,0.16694663554402636
12,1.1,1,0,0.0001390295338807985
12,1.1,2,1,0.0050571669000106
12,1.1,3,2,0.024450540699674266
12,1.1,4,3,0.04686352631491983
12,1.1,5,4,0.06763840171171734
12,1.1,6,5,0.08826656506919743
12,1.1,7,6,0.11048642326305834
12,1.1,8,7,0.13276782354969785
12,1.1,9,8,0.14957121921799393
12,1.1,10,9,0.1497789249783137
12,1.1,11,10,0.22498037876153618
12,1.2,1,0,6.537037120831668e-05
12,1.2,2,1,0.002627910797595877
12,1.2,3,2,0.01404175038102558
12,1.2,4,3,0.029743850776487238
12,1.2,5,4,0.04744440602302358
12,1.2,6,5,0.06842540104668564
12,1.2,7,6,0.09465847165005678
12,1.2,8,7,0.12571087744229242
12,1.2,9,8,0.1565155543380806
12,1.2,10,9,0.1732166468764512
12,1.2,11,10,0.28754976029709295
12,1.3,1,0,2.9373205316986037e-05
12,1.3,2,1,0.0013049998369009962
12,1.3,3,2,0.007706382030262533
12,1.3,4,3,0.018040805652426946
12,1.3,5,4,0.031803374003515836
12,1.3,6,5,0.05069148130323225
12,1.3,7,6,0.0775008680927638
12,1.3,8,7,0.11374947081215081
12,1.3,9,8,0.15651770782292912
12,1.3,10,9,0.1914366345793586
12,1.3,11,10,0.35121890266114203
12,1.4,1,0,1.2713231358903706e-05
12,1.4,2,1,0.0006242298252035548
12,1.4,3,2,0.0040739344835359
12,1.4,4,3,0.010540200737834394
12,1.4,5,4,0.020535042156206735
12,1.4,6,5,0.03617319193672547
12,1.4,7,6,0.06112063614269801
12,1.4,8,7,0.09914256066375779
12,1.4,9,8,0.15076609076871256
