n,beta,model_key,model_label,n_seeds,min,q1,median,mean,std,ci95,q3,max
17,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.39165763938006,1.4355870563162232,1.5008892494523285,1.4975869812402056,0.07358003451213244,0.052632328957976884,1.5521135381349191,1.6133341041157323
17,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.9293569494332634,1.0435101065826473,1.1062117203867423,1.1182729682064467,0.13717181805233242,0.09811999001310168,1.2018631832092983,1.32267839635826
17,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.0828416704877766,2.2812653011963593,2.430975886687645,2.558321810262256,0.5107389394953211,0.36533524417868524,2.5687033124614134,3.814436050168024
18,0.9,iqp_parity_mse,IQP (parity),10,0.7705880946421565,0.8732729278914363,0.923803818189086,0.9425531044151928,0.12041645874674578,0.08613476075046353,1.0337569622323863,1.1554433141076972
18,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.415888654607231,1.4550744469523083,1.5254504615283038,1.5774552673747675,0.14421181120920593,0.1031557478535438,1.7251883946023776,1.7717986513807182
18,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.5288567154408794,1.548250491557006,1.559310893627041,1.5942252218798771,0.06963468625890096,0.04981019291938044,1.634019228804405,1.7122233340753081
18,0.9,classical_transformer_mle,AR Transformer (MLE),10,0.9505066367477838,1.0048120037229473,1.0653796899501984,1.1451580409886526,0.21446280314271468,0.15340678866351984,1.2138540581079331,1.5850612648103743
18,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.238459092952648,2.3595728496082726,2.393343068209071,2.535961902771792,0.3632595407938456,0.2598421674432999,2.5490439959360236,3.4940153732122425
19,0.9,iqp_parity_mse,IQP (parity),10,0.8721557361465394,0.9825104735981562,1.1101592690085944,1.138708316610065,0.20373546716545576,0.1457334479299716,1.2710201780427024,1.4592782738867682
19,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.4614405662093453,1.6158365026312,1.707258666438698,1.6998417575531541,0.15364033838403018,0.10990004129054605,1.7812395467880937,1.973023991960892
19,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.484913567324487,1.6300668413415744,1.6861251377603548,1.7215826681197293,0.17517170779506644,0.12530158500102806,1.7527451765640247,2.0790023726149345
19,0.9,classical_transformer_mle,AR Transformer (MLE),10,1.0186499364794153,1.0517776472415776,1.1645758868509393,1.2282714592255115,0.19693310146610823,0.14086766672241477,1.4388715667017924,1.4877220889667806
19,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.199318448436984,2.488191363486523,2.6282212643895235,2.6234691795597778,0.24737713738016762,0.17695064914829278,2.7284439053571554,2.982983855823975
20,0.9,iqp_parity_mse,IQP (parity),10,1.1367156273504833,1.1597908305561728,1.256185770930297,1.239136783018004,0.08446146626272054,0.06041589550871414,1.2876035414419844,1.3901732846194441
20,0.9,classical_nnn_fields_parity,Ising+fields (NN+NNN),10,1.571566817327227,1.6228910386548132,1.6698491873134045,1.7892943044072123,0.23662445619328873,0.16925917880364727,1.9219256623484475,2.2703435200588813
20,0.9,classical_dense_fields_xent,Dense Ising+fields (xent),10,1.671182295333237,1.7215987096725494,1.8283014497777916,1.853791993686005,0.16279790367380953,0.11645051373842653,1.9683382226379815,2.172438712708829
20,0.9,classical_transformer_mle,AR Transformer (MLE),10,1.0824580032291726,1.1573089921223367,1.3184082537189608,1.384160907255676,0.2621517645176375,0.1875190464164749,1.649870301556872,1.7119323817951813
20,0.9,classical_maxent_parity,"MaxEnt parity (P,z)",10,2.339888273564447,2.5353624934064607,2.6326498743067743,2.7227211810541987,0.27424319592531715,0.1961681344420707,2.908583289645306,3.2573268068776478
