seed_group,curve_key,Q,mean_R_Q,std_R_Q,n_aggregated_seeds
"111,112,113,114,115,116,117,118,119,120",mse_sim,13,0.0187224169533303,0.0017993228443653633,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,13,0.011594999613953763,0.0018763896728571509,10
"111,112,113,114,115,116,117,118,119,120",target,14,0.02152035900394119,0.0013093961065611232,10
"111,112,113,114,115,116,117,118,119,120",uniform,14,0.0034125500206680925,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,14,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,14,0.02118398979561743,0.0017138169292742892,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,14,0.012948145700970037,0.002447324380292827,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,14,0.020115362921031527,0.0019244782258386437,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,14,0.012471183583591918,0.002015753640052122,10
"111,112,113,114,115,116,117,118,119,120",target,15,0.02302560446604019,0.0013941637162017658,10
"111,112,113,114,115,116,117,118,119,120",uniform,15,0.0036558575035731122,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,15,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,15,0.02264779829649476,0.0018228542775071855,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,15,0.013855989687729608,0.0026148172628935613,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,15,0.02150186489435622,0.0020479426414188712,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,15,0.013345171466544894,0.002154440110929243,10
"111,112,113,114,115,116,117,118,119,120",target,17,0.026023699582453614,0.0015604762655676767,10
"111,112,113,114,115,116,117,118,119,120",uniform,17,0.004142294280162773,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,17,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,17,0.025556606207982852,0.002036158869092445,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,17,0.015665049630457218,0.0029470030043903363,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,17,0.02425576727948334,0.002289946578003806,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,17,0.015086599645644839,0.002429805583916934,10
"111,112,113,114,115,116,117,118,119,120",target,18,0.027516591486369806,0.0016420519646963543,10
"111,112,113,114,115,116,117,118,119,120",uniform,18,0.004385423602848326,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,18,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,18,0.027001708454677854,0.0021404888652115208,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,18,0.016566286277965032,0.003111710126862795,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,18,0.025623281064899705,0.002408558185351604,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,18,0.01595406010621314,0.002566496899824516,10
"111,112,113,114,115,116,117,118,119,120",target,19,0.02900540749023518,0.0017225940439554706,10
"111,112,113,114,115,116,117,118,119,120",uniform,19,0.004628493567789049,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,19,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,19,0.02844067708611029,0.002243311525796068,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,19,0.01746534105410743,0.0032755028184361062,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,19,0.026984577626052754,0.0025256230286832358,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,19,0.01681936481014424,0.0027025353492152993,10
"111,112,113,114,115,116,117,118,119,120",target,20,0.030490168276682012,0.0018021172760090997,10
"111,112,113,114,115,116,117,118,119,120",uniform,20,0.004871504189476572,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,20,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,20,0.0298735619841754,0.0023446567862877867,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,20,0.018362224130771813,0.0034383880501974084,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,20,0.02833971186369877,0.0026411753011500445,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,20,0.017682523670146288,0.002837926897628907,10
"111,112,113,114,115,116,117,118,119,120",target,21,0.031970894355291116,0.0018806361985246696,10
"111,112,113,114,115,116,117,118,119,120",uniform,21,0.005114455482399083,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,21,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,21,0.03130041243263589,0.0024445540240315674,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,21,0.019256945611304845,0.003600372730082204,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,21,0.02968873798407088,0.002755248481196198,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,21,0.018543546532189373,0.0029726774359916473,10
"111,112,113,114,115,116,117,118,119,120",target,23,0.034920323574453495,0.002034718115818639,10
"111,112,113,114,115,116,117,118,119,120",uniform,23,0.005600180139883615,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,23,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,23,0.03413620417801122,0.0026401192091940633,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,23,0.02103994385798192,0.003921667753903807,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,23,0.03236867928963358,0.0029790879858473136,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,23,0.020259223316067936,0.003240278679475682,10
"111,112,113,114,115,116,117,118,119,120",target,25,0.03785385584123372,0.0021849515552609406,10
"111,112,113,114,115,116,117,118,119,120",uniform,25,0.006085667656076654,0.0,10
"111,112,113,114,115,116,117,118,119,120",spectral,25,0.0,0.0,10
"111,112,113,114,115,116,117,118,119,120",parity_sim,25,0.03694843496189543,0.002830231308592228,10
"111,112,113,114,115,116,117,118,119,120",parity_hw,25,0.022814415271046225,0.004239441913655062,10
"111,112,113,114,115,116,117,118,119,120",mse_sim,25,0.03502482170603108,0.0031973955879351507,10
"111,112,113,114,115,116,117,118,119,120",mse_hw,25,0.02196647261670333,0.0035053847542530162,10
"111,112,113,114,115,116,117,118,119,120",target,27,0.04077164920960413,0.0023314447774964372,10
"111,112,113,114,115,116,117,118,119,120",uniform,27,0.0065709181467557,0.0,10
